model_layer,uuas,spearmanr
0,0.32679738562091504,0.39270104196960903
1,0.6013567042978808,0.6864935375271931
2,0.6592394533571004,0.71282813592447
3,0.6841453753218459,0.7269573756641726
4,0.7049415725886314,0.739274445069283
5,0.7182610417904536,0.751964142196068
6,0.7252921370568429,0.7617542297571679
7,0.7317785700138641,0.7669938076469485
9,0.715735789265201,0.7632036755083833
10,0.6953852247969895,0.7570840174514575
11,0.6619132501485443,0.74210178481926
12,0.6105169340463458,0.6957204515564865
